Moscow   2008 : 366 (31 December)
  00:02	    3.200    Auto
  00:07	    3.125    Auto
  00:12	    3.250    Auto
  00:17	    3.075    Auto
  00:22	    3.000    Auto
  00:27	    3.075    Auto
  00:32	    3.125    Auto
  00:37	    3.075    Auto
  00:42	    3.175    Auto
  00:47	    3.125    Auto
  00:52	    3.075    Auto
  00:57	      N/A    Auto
  01:02	    3.075    Auto
  01:07	    3.200    Auto
  01:12	    3.075    Auto
  01:17	    2.950    Auto
  01:22	    2.925    Auto
  01:27	    2.900    Auto
  01:32	    2.875    Auto
  01:37	    2.950    Auto
  01:42	    2.850    Auto
  01:47	    2.775    Auto
  01:52	    2.750    Auto
  01:57	    2.600    Auto
  02:02	    2.625    Auto
  02:07	    2.675    Auto
  02:12	    2.575    Auto
  02:17	    2.675    Auto
  02:22	    2.550    Auto
  02:27	    2.550    Auto
  02:32	    2.550    Auto
  02:37	    2.525    Auto
  02:42	    2.525    Auto
  02:47	    2.525    Auto
  02:52	    2.550    Auto
  02:57	    2.500    Auto
  03:02	    2.475    Auto
  03:07	    2.550    Auto
  03:12	    2.525    Auto
  03:17	    2.300    Auto
  03:22	    2.800    Auto
  03:27	    2.550    Auto
  03:32	    2.550    Auto
  03:37	    2.525    Auto
  03:42	    2.525    Auto
  03:47	    2.550    Auto
  03:52	    2.575    Auto
  03:57	    2.775    Auto
  04:02	    2.750    Auto
  04:07	    2.850    Auto
  04:12	    2.925    Auto
  04:17	    2.725    Auto
  04:22	    2.575    Auto
  04:27	    2.550    Auto
  04:32	    2.525    Auto
  04:37	    2.350    Auto
  04:42	    2.400    Auto
  04:47	    2.550    Auto
  04:52	    2.550    Auto
  04:57	    2.575    Auto
  05:02	    2.700    Auto
  05:17	    2.800    Auto
  05:32	    3.450    Auto
  05:47	      N/A    Auto
  06:02	    4.050    Auto
  06:17	    4.350    Auto
  06:32	    4.400    Auto
  06:47	      N/A    Auto
  07:02	      N/A    Auto
  07:17	      N/A    Auto
  07:32	    5.150    Auto
  07:47	    5.250    Auto
  08:02	      N/A    Auto
  08:17	    4.800    Auto
  08:32	    4.825    Auto
  08:47	    4.650    Auto
  09:02	    5.000    Auto
  09:17	    4.675    Auto
  09:32	    4.475    Auto
  09:47	    4.507    Auto
  10:02	    4.650    Auto
  10:17	    4.875    Auto
  10:32	    5.450    Auto
  10:47	    4.950    Auto
  11:02	    5.050    Auto
  11:17	    4.900    Auto
  11:32	    4.500    Auto
  11:47	    4.700    Auto
  12:02	    4.575    Auto
  12:17	    4.725    Auto
  12:32	    4.475    Auto
  12:47	    3.925    Auto
  13:02	    3.750    Auto
  13:17	    3.475    Auto
  13:32	    3.250    Auto
  13:47	    2.850    Auto
  14:02	    2.650    Auto
  14:17	    2.500    Auto
  14:32	    2.400    Auto
  14:47	    2.350    Auto
  15:02	    2.475    Auto
  15:17	    2.475    Auto
  15:32	    2.475    Auto
  15:47	      N/A    Auto
  16:02	    2.325    Auto
  16:17	    2.425    Auto
  16:32	    2.450    Auto
  16:47	    2.325    Auto
  17:02	    2.525    Auto
  17:17	    2.600    Auto
  17:32	      N/A    Auto
  17:47	    2.850    Auto
  18:02	    2.900    Auto
  18:17	    2.850    Auto
  18:32	    2.625    Auto
  18:47	    2.825    Auto
  19:02	    3.000    Auto
  19:17	    3.075    Auto
  19:32	      N/A    Auto
  19:47	    3.200    Auto
  20:02	    3.075    Auto
  20:17	      N/A    Auto
  20:32	    3.600    Auto
  20:47	    3.325    Auto
  21:02	    3.575    Auto
  21:07	    3.550    Auto
  21:12	    3.500    Auto
  21:17	    3.250    Auto
  21:22	      N/A    Auto
  21:27	    3.200    Auto
  21:32	      N/A    Auto
  21:37	    3.200    Auto
  21:42	    3.275    Auto
  21:47	    3.450    Auto
  21:52	      N/A    Auto
  21:57	    3.425    Auto
  22:02	    3.450    Auto
  22:07	    3.525    Auto
  22:12	    3.275    Auto
  22:17	    3.450    Auto
  22:22	    3.575    Auto
  22:27	      N/A    Auto
  22:32	    3.475    Auto
  22:37	      N/A    Auto
  22:42	    3.800    Auto
  22:47	    3.575    Auto
  22:52	      N/A    Auto
  22:57	    3.850    Auto
  23:02	      N/A    Auto
  23:07	    3.850    Auto
  23:12	    3.875    Auto
  23:17	    3.900    Auto
  23:22	    3.850    Auto
  23:27	    3.575    Auto
  23:32	    3.450    Auto
  23:37	    3.550    Auto
  23:42	    3.575    Auto
  23:47	    3.525    Auto
  23:52	    3.450    Auto
  23:57	    3.300    Auto
